feature	value	obs	acc	delta	q1	q50	q99	pval	adj_pval	reject
svtype	INS	20545	0.0128	-95.1908	-21.395	-0.0717	21.1618	0.0	0.0	True
TRF	True	19712	0.0583	-43.068	-20.8192	-0.2555	20.7164	0.0	0.0	True
isolated	False	12401	0.0363	-32.7259	-21.2901	0.0348	20.802	0.0002	0.0013	True
szbin	[100,200)	6256	0.0985	-39.0618	-31.5877	0.118	30.88	0.0022	0.011	False
VAF_bin	SomaticLow(<5%)	13184	0.1067	-19.5625	-23.2369	0.0	22.5062	0.027	0.108	False
szbin	[300,400)	6417	0.226	-16.5424	-31.2616	0.2433	32.0311	0.1146	0.382	False
szbin	[50,100)	11810	0.1384	-13.5713	-30.9587	0.1573	30.9194	0.1553	0.4437	False
szbin	[200,300)	2546	0.15	-8.1901	-31.0986	-0.0608	32.1528	0.2759	0.6898	False
VAF_bin	Somatic	8200	0.2021	1.8286	-24.6865	-0.2696	24.663	0.5794	1.0	False
szbin	[1k,2.5k)	2103	0.3214	2.8917	-34.315	-0.1928	33.7367	0.5814	1.0	False
szbin	[600,800)	961	0.2185	11.4913	-38.1439	-0.361	36.9406	0.7608	1.0	False
VAF_bin	GermlineHom	5308	0.2758	9.7937	-24.7527	0.2923	24.4599	0.8116	1.0	False
VAF_bin	GermlineHet	7448	0.2293	10.3424	-24.9167	0.0	23.5145	0.848	1.0	False
szbin	[800,1k)	644	0.2826	19.0136	-40.3061	0.0712	41.5879	0.8528	1.0	False
szbin	[2.5k,5k)	1091	0.3575	20.0278	-36.4475	-0.0784	36.0814	0.8991	1.0	False
szbin	[400,600)	1381	0.2238	21.5799	-33.0838	0.3243	33.1707	0.9325	1.0	False
szbin	>=5k	931	0.4157	32.9698	-38.0236	0.1203	38.1493	0.9772	1.0	False
isolated	True	21739	0.2662	32.7259	-21.0631	0.087	20.9411	0.9998	1.0	False
TRF	False	14428	0.3525	43.068	-20.0694	-0.1363	20.8531	1.0	1.0	False
svtype	DEL	13595	0.4394	95.1908	-21.287	0.0538	21.5921	1.0	1.0	False
